Country,lat,lon,Year_2017,Year_2016,Year_2015,Year_2014,Year_2013,Year_2012,Year_2011,Year_2010,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000,2017_Country_Population,Per_Population_2017,
Namibia,-22.96,18.49,54268.00,25198.00,12168.00,15914.00,4911.00,194.00,1860.00,556.00,505.00,1092.00,4242.00,27690.00,23339.00,36043.00,20295.00,23984.00,41636.00,,2402623.00,2.26,
Nepal,28.39,84.12,623.00,507.00,591.00,832.00,1974.00,2092.00,3414.00,3894.00,3335.00,3888.00,5621.00,4969.00,5050.00,4895.00,9506.00,12750.00,6396.00,7981.00,27632682.00,0.00,
Nicaragua,12.87,-85.21,10949.00,6272.00,2279.00,1142.00,1162.00,1235.00,925.00,692.00,610.00,762.00,1356.00,3114.00,6642.00,6897.00,6717.00,7695.00,10482.00,23878.00,6384843.00,0.17,
Niger,17.61,8.08,2638580.00,4148167.00,2272000.00,1953309.00,2353422.00,2239858.00,780876.00,620058.00,309675.00,496858.00,249027.00,3956.00,56043.00,76030.00,56460.00,,,,21602388.00,12.21,
Nigeria,9.08,8.68,11571958.00,9234387.00,6850782.00,7826954.00,,,,551187.00,479845.00,143079.00,,,,,,,,,190873247.00,6.06,
Oman,21.51,55.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,8.00,4.00,0.00,0.00,0.00,6.00,6.00,2.00,6.00,4665926.00,0.00,
Pakistan,30.38,69.35,350467.00,318449.00,202013.00,275149.00,281755.00,290781.00,334589.00,240591.00,167579.00,104454.00,128570.00,124910.00,127826.00,126719.00,125152.00,107666.00,125292.00,82526.00,207906210.00,0.17,
Panama,8.54,-80.78,649.00,769.00,546.00,864.00,705.00,844.00,354.00,418.00,778.00,744.00,1281.00,1663.00,3667.00,5095.00,4500.00,2244.00,928.00,1036.00,4106764.00,0.02,
Papua New Guinea,-6.31,143.96,478340.00,478497.00,297787.00,281182.00,279994.00,150195.00,84060.00,93956.00,77758.00,84452.00,86955.00,93938.00,92957.00,91055.00,72620.00,75748.00,94484.00,79839.00,8438038.00,5.67,
Paraguay,-23.44,-58.44,0.00,0.00,0.00,0.00,0.00,0.00,1.00,18.00,91.00,348.00,1341.00,823.00,376.00,694.00,1392.00,2778.00,2710.00,6853.00,6867058.00,0.00,
Peru,-9.19,-75.02,55367.00,56623.00,61865.00,65252.00,48719.00,31436.00,25039.00,31546.00,42645.00,44522.00,50797.00,64925.00,87699.00,93581.00,88408.00,99237.00,78544.00,68321.00,31444299.00,0.18,
Philippines,12.88,121.77,3950.00,6680.00,8266.00,4903.00,6514.00,7133.00,9552.00,18560.00,19316.00,23655.00,36235.00,35405.00,46342.00,50850.00,48441.00,37005.00,34787.00,36596.00,105172921.00,0.00,
Republic of Korea,35.91,127.77,436.00,602.00,627.00,557.00,383.00,394.00,505.00,1267.00,898.00,1052.00,2227.00,2051.00,1369.00,864.00,1171.00,1799.00,2556.00,4183.00,51096408.00,0.00,
Rwanda,-1.94,29.87,1876123.00,3380568.00,2505794.00,1610812.00,962618.00,483470.00,208858.00,638669.00,698745.00,316242.00,382686.00,573686.00,683769.00,589315.00,553150.00,506028.00,423493.00,,11980960.00,15.66,
Sao Tome and Principe,0.19,6.61,2239.00,2238.00,2058.00,1754.00,9243.00,12550.00,8442.00,2740.00,6182.00,6258.00,2421.00,5146.00,18139.00,46486.00,42656.00,50586.00,42086.00,31975.00,207086.00,1.08,
Saudi Arabia,23.89,45.08,177.00,272.00,83.00,30.00,34.00,82.00,69.00,29.00,58.00,61.00,467.00,1278.00,1059.00,1232.00,1724.00,2612.00,3074.00,6608.00,33101183.00,0.00,
Senegal,14.50,-14.45,395706.00,349540.00,492253.00,268912.00,366687.00,280241.00,274119.00,330331.00,165933.00,241926.00,118332.00,48070.00,33160.00,22234.00,26865.00,14425.00,12920.00,44959.00,15419354.00,2.57,
Sierra Leone,8.46,-11.78,1651236.00,1775306.00,1483376.00,1374476.00,1701958.00,1537322.00,638859.00,934028.00,646808.00,154459.00,,4932.00,4808.00,2206.00,3945.00,3702.00,2206.00,,7488427.00,22.05,
Solomon Islands,-9.65,160.16,52463.00,54431.00,23998.00,18404.00,25609.00,24383.00,26657.00,39704.00,33002.00,40535.00,65404.00,75337.00,76390.00,90297.00,92227.00,74936.00,76493.00,68107.00,636030.00,8.25,
Somalia,5.15,46.20,35138.00,35628.00,20953.00,11001.00,8944.00,35712.00,3351.00,24553.00,25202.00,36905.00,16675.00,16430.00,12516.00,11436.00,7571.00,15732.00,,,14589165.00,0.24,
South Africa,-30.56,22.94,22061.00,4323.00,555.00,11705.00,8645.00,5629.00,9866.00,8060.00,6072.00,7796.00,6327.00,12098.00,7755.00,13399.00,13459.00,15649.00,26506.00,,57009751.00,0.04,
South Sudan,6.88,31.31,1488005.00,0.00,0.00,71377.00,262520.00,225371.00,112024.00,900283.00,,52011.00,,,,,,,,,10910774.00,13.64,
Sri Lanka,7.87,80.77,0.00,0.00,0.00,0.00,0.00,23.00,124.00,684.00,531.00,649.00,198.00,591.00,1640.00,3720.00,10510.00,41411.00,66522.00,210039.00,21128028.00,0.00,
Sudan,12.86,30.22,720879.00,575015.00,586827.00,1068506.00,592383.00,526931.00,506806.00,720557.00,711462.00,569296.00,686908.00,721233.00,628417.00,537899.00,933267.00,280550.00,203491.00,368557.00,40813398.00,1.77,
Suriname,3.92,-56.03,40.00,76.00,81.00,401.00,729.00,356.00,771.00,1712.00,2380.00,2709.00,1741.00,3289.00,9131.00,8378.00,10982.00,12837.00,16003.00,11361.00,570501.00,0.01,
Syrian Arab Republic,34.80,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,15.00,63.00,6.00,17095669.00,0.00,
